lokacija,povrsina,cena,razdalja,datum
"Primorsko-goranska, Rijeka",68.74 m2,305.000 €,77.38 km,04.09.2025
"Primorsko-goranska, Opatija",121.35 m2,725.000 €,79.51 km,13.08.2025
"Moravče, Moravče",300 m2,350.000 €,22.46 km,18.06.2025
"Ljubljana Šiška, Spodnja Šiška",187.25 m2,548.200 €,2.28 km,08.04.2025
"Vrhnika, Sinja Gorica",111.3 m2,298.000 €,15.67 km,22.08.2024
"Mengeš, Mengeš",83 m2,Cena po dogovoru,14.83 km,06.09.2025
"Ravne na Koroškem, Ravne na Koroškem",66.8 m2,139.700 €,67.24 km,06.09.2025
"Kamnik, Črna pri Kamniku",60 m2,Cena po dogovoru,27.00 km,06.09.2025
"Izola, Jagodje",35 m2,600 €,87.61 km,06.09.2025
"Velenje, Velenje",30 m2,Cena po dogovoru,59.75 km,06.09.2025
"Šmartno pri Litiji, Gozd-reka",48 m2,Cena po dogovoru,20.97 km,06.09.2025
"Novo mesto, Stopiče",85 m2,590 €,63.66 km,06.09.2025
"Idrija, Idrija",200 m2,290 €,35.55 km,06.09.2025
"Istrska, Umag",114.5 m2,948.490 €,98.78 km,06.09.2025
"Istrska, Pazin",150 m2,350.000 €,98.65 km,06.09.2025
"Istrska, Pazin",159 m2,165.000 €,98.58 km,06.09.2025
"Istrska, Umag",115.97 m2,449.460 €,98.56 km,06.09.2025
"Primorsko-goranska, Rijeka",68 m2,370.000 €,77.64 km,06.09.2025
"Primorsko-goranska, Crikvenica",19 m2,85.000 €,96.12 km,06.09.2025
"Primorsko-goranska, Crikvenica",19 m2,85.000 €,96.16 km,06.09.2025
"Ljubljana Šiška, Vižmarje",122 m2,1.400 €,6.44 km,06.09.2025
"Ljubljana Vič Rudnik, Rožna dolina",30 m2,650 €,417 km,06.09.2025
"Črnomelj, Črnomelj",74.2 m2,169.990 €,76.01 km,06.09.2025
"Cerklje na Gorenjskem, Cerklje na Gorenjskem",97.3 m2,361.000 €,24.88 km,06.09.2025
"Istrska, Umag",121.91 m2,562.232 €,98.62 km,06.09.2025
"Istrska, Buje",107 m2,325.000 €,92.91 km,06.09.2025
"Primorsko-goranska, Crikvenica",71.74 m2,278.000 €,96.09 km,06.09.2025
"Primorsko-goranska, Crikvenica",125.39 m2,625.000 €,96.40 km,06.09.2025
"Primorsko-goranska, Crikvenica",121.15 m2,625.000 €,96.23 km,06.09.2025
"Primorsko-goranska, Crikvenica",122 m2,400.000 €,96.30 km,06.09.2025
"Zagorje ob Savi, Zagorje ob Savi",33 m2,400 €,40.66 km,05.09.2025
"Celje, Medlog",85 m2,750 €,62.35 km,05.09.2025
"Piran, Lucija",38 m2,400 €,90.99 km,05.09.2025
"Ljubljana Moste Polje, Nove Fužine",45 m2,650 €,5.87 km,05.09.2025
"Ljubljana Šiška, Brod",80 m2,1.050 €,8.23 km,05.09.2025
"Celje, Nova vas",63 m2,189.000 €,63.37 km,05.09.2025
"Ljubljana Šiška, Draveljska gmajna",33 m2,750 €,2.98 km,05.09.2025
"Dolenjske Toplice, Dolenjske Toplice",90 m2,280 €,54.61 km,05.09.2025
"Šentjur, Šentjur",80 m2,200 €,72.34 km,05.09.2025
"Ljubljana Vič Rudnik, Vič - Dolgi most",42 m2,850 €,1.90 km,05.09.2025
"Šentjur, Šentjur",80 m2,650 €,71.91 km,05.09.2025
"Ljubljana Center, Trnovo",96 m2,600 €,1.42 km,05.09.2025
"Majšperk, Lešje",75 m2,750 €,99.79 km,05.09.2025
"Istrska, Umag",67 m2,289.000 €,98.79 km,05.09.2025
"Istrska, Umag",82 m2,356.000 €,98.76 km,05.09.2025
"Istrska, Umag",55 m2,284.255 €,98.53 km,05.09.2025
"Istrska, Umag",95 m2,Cena po dogovoru,98.76 km,05.09.2025
"Istrska, Umag",123 m2,343.000 €,98.61 km,05.09.2025
"Celje, Nova vas",27 m2,450 €,63.71 km,05.09.2025
"Ljubljana Bežigrad, Ježica",24 m2,400 €,5.51 km,05.09.2025
"Ruše, Bistrica ob Dravi",90 m2,550 €,98.71 km,05.09.2025
"Mozirje, Mozirje",130 m2,220.000 €,49.33 km,05.09.2025
"Ljubljana Center, Stara Ljubljana",66 m2,450.000 €,1.61 km,05.09.2025
"Selnica ob Dravi, Janževa Gora",100 m2,80.000 €,94.22 km,05.09.2025
"Ljubljana, Črna vas",58 m2,820 €,4.31 km,05.09.2025
"Brežice, Brežice",36 m2,380 €,87.44 km,05.09.2025
"Istrska, Umag",52 m2,215.000 €,98.86 km,05.09.2025
"Sežana, Sežana",76 m2,179.900 €,60.40 km,05.09.2025
"Ljubljana Moste Polje, Fužine",81 m2,1.150 €,5.02 km,05.09.2025
"Kranjska Gora, Gozd Martuljek",173.9 m2,489.000 €,68.85 km,05.09.2025
"Istrska, Umag",50 m2,200.000 €,98.92 km,05.09.2025
"Ljubljana Moste Polje, Polje",120 m2,Cena po dogovoru,8.18 km,05.09.2025
"Primorsko-goranska, Opatija",96 m2,550.000 €,79.37 km,05.09.2025
"Primorsko-goranska, Rijeka",124.58 m2,559.000 €,77.68 km,05.09.2025
"Primorsko-goranska, Rijeka",68.28 m2,305.000 €,77.76 km,05.09.2025
"Primorsko-goranska, Opatija",122.58 m2,790.000 €,79.41 km,05.09.2025
"Primorsko-goranska, Omišalj",94.51 m2,343.000 €,93.13 km,05.09.2025
"Primorsko-goranska, Kostrena",201 m2,100 €,83.12 km,05.09.2025
"Primorsko-goranska, Rijeka",43.49 m2,360.000 €,77.50 km,05.09.2025
"Primorsko-goranska, Rijeka",93.47 m2,620.000 €,77.60 km,05.09.2025
"Primorsko-goranska, Omišalj",93.4 m2,339.000 €,93.13 km,05.09.2025
"Primorsko-goranska, Matulji",127.71 m2,399.000 €,72.32 km,05.09.2025
"Primorsko-goranska, Rijeka",55.85 m2,208.000 €,77.59 km,05.09.2025
"Primorsko-goranska, Lovran",74.79 m2,290.000 €,85.57 km,05.09.2025
"Primorsko-goranska, Rijeka",108.13 m2,499.000 €,77.52 km,05.09.2025
"Primorsko-goranska, Omišalj",52.74 m2,191.000 €,93.13 km,05.09.2025
"Primorsko-goranska, Kostrena",201 m2,100 €,82.94 km,05.09.2025
"Primorsko-goranska, Rijeka",110 m2,208.000 €,80.04 km,05.09.2025
"Ljubljana Vič Rudnik, Rakovnik",35 m2,750 €,2.97 km,05.09.2025
"Primorsko-goranska, Rijeka",130.08 m2,559.000 €,77.61 km,05.09.2025
"Primorsko-goranska, Lovran",116.89 m2,619.500 €,86.92 km,05.09.2025
"Primorsko-goranska, Rijeka",105.7 m2,100 €,77.66 km,05.09.2025
"Primorsko-goranska, Opatija",100 m2,400.000 €,79.83 km,05.09.2025
"Istrska, Umag",69.73 m2,215.000 €,98.72 km,05.09.2025
"Istrska, Buzet",49.22 m2,132.894 €,82.72 km,05.09.2025
"Istrska, Lanišće",104 m2,49.000 €,74.22 km,05.09.2025
"Primorsko-goranska, Vrbovsko",420 m2,320.000 €,87.12 km,05.09.2025
"Primorsko-goranska, Rijeka",121.4 m2,850.000 €,77.57 km,05.09.2025
"Primorsko-goranska, Rijeka",127.39 m2,549.000 €,77.46 km,05.09.2025
"Istrska, Umag",79.01 m2,379.000 €,98.73 km,05.09.2025
"Istrska, Buzet",78.85 m2,212.895 €,82.91 km,05.09.2025
"Istrska, Buzet",53.19 m2,143.613 €,82.89 km,05.09.2025
"Istrska, Umag",55.15 m2,299.000 €,98.68 km,05.09.2025
"Primorsko-goranska, Rijeka",79.48 m2,400.000 €,77.40 km,05.09.2025
"Istrska, Umag",85.25 m2,287.000 €,98.72 km,05.09.2025
"Istrska, Umag",71.28 m2,290.000 €,98.60 km,05.09.2025
"Primorsko-goranska, Opatija",39 m2,220.000 €,82.38 km,05.09.2025
"Primorsko-goranska, Fužine",130 m2,199.000 €,84.18 km,05.09.2025
"Primorsko-goranska, Fužine",260 m2,164.000 €,84.26 km,05.09.2025
"Primorsko-goranska, Lovran",53.46 m2,269.000 €,84.64 km,05.09.2025
"Istrska, Umag",60.89 m2,215.000 €,98.89 km,05.09.2025
"Primorsko-goranska, Rijeka",66.68 m2,305.000 €,77.39 km,05.09.2025
"Primorsko-goranska, Vrbovsko",52 m2,88.800 €,87.16 km,05.09.2025
"Primorsko-goranska, Omišalj",108.22 m2,392.000 €,93.13 km,05.09.2025
"Primorsko-goranska, Lovran",207.1 m2,1.200.000 €,86.77 km,05.09.2025
"Primorsko-goranska, Matulji",99 m2,350.000 €,72.22 km,05.09.2025
"Primorsko-goranska, Rijeka",74 m2,239.000 €,79.77 km,05.09.2025
"Istrska, Umag",90.72 m2,479.000 €,98.57 km,05.09.2025
"Primorsko-goranska, Mrkopalj",170 m2,172.000 €,90.12 km,05.09.2025
"Istrska, Umag",42.04 m2,199.000 €,98.80 km,05.09.2025
"Primorsko-goranska, Čabar",240 m2,550.000 €,55.57 km,05.09.2025
"Primorsko-goranska, Brod Moravice",40 m2,79.000 €,73.79 km,05.09.2025
"Primorsko-goranska, Rijeka",65.42 m2,165.000 €,77.41 km,05.09.2025
"Istrska, Buzet",50.06 m2,135.162 €,82.91 km,05.09.2025
"Trbovlje, Trbovlje",40 m2,350 €,44.61 km,05.09.2025
"Primorsko-goranska, Vrbovsko",70 m2,57.000 €,87.20 km,05.09.2025
"Primorsko-goranska, Opatija - Okolica",264.2 m2,860.000 €,80.77 km,05.09.2025
"Primorsko-goranska, Delnice",180 m2,159.000 €,70.24 km,05.09.2025
"Primorsko-goranska, Fužine",150 m2,330.000 €,84.44 km,05.09.2025
"Primorsko-goranska, Omišalj",51.19 m2,185.000 €,93.13 km,05.09.2025
"Slovenska Bistrica, Zgornja Polskava",42 m2,380 €,96.29 km,05.09.2025
Hrvaška,186 m2,879.000 €,82.62 km,05.09.2025
"Koper, Krkavče",42 m2,500 €,88.98 km,05.09.2025
"Ljubljana Moste Polje, Štepanja vas",130 m2,Cena po dogovoru,4.69 km,05.09.2025
"Istrska, Umag",81.56 m2,440.000 €,98.55 km,05.09.2025
"Istrska, Umag",90 m2,355.000 €,98.78 km,05.09.2025
"Istrska, Umag",81 m2,495.000 €,98.55 km,05.09.2025
"Ljubljana Moste Polje, Štepanja vas",9.5 m2,52.000 €,4.32 km,04.09.2025
"Brežice, Brežice",40 m2,420 €,87.25 km,04.09.2025
"Trebnje, Trebnje",65 m2,750 €,42.67 km,04.09.2025
"Primorsko-goranska, Čabar",248 m2,60.000 €,55.24 km,04.09.2025
"Celje, Center",117 m2,170.000 €,63.44 km,04.09.2025
"Trebnje, Mirna",28 m2,38 €,47.98 km,04.09.2025
"Slovenska Bistrica, Slovenska Bistrica",53 m2,500 €,91.97 km,04.09.2025
"Kanal ob Soči, Lig",200 m2,Cena po dogovoru,67.68 km,04.09.2025
"Primorsko-goranska, Opatija - Okolica",500 m2,1.410.000 €,80.60 km,04.09.2025
"Primorsko-goranska, Crikvenica",540 m2,100 €,96.24 km,04.09.2025
"Primorsko-goranska, Rijeka",136 m2,450.000 €,77.48 km,04.09.2025
"Ljubljana Center, Mirje",116.2 m2,590.000 €,1.52 km,04.09.2025
"Primorsko-goranska, Opatija",130 m2,800.000 €,79.70 km,04.09.2025
"Primorsko-goranska, Vinodolska Općina",206 m2,615.000 €,94.27 km,04.09.2025
"Mengeš, Mengeš",300 m2,Cena po dogovoru,14.83 km,04.09.2025
"Primorsko-goranska, Fužine",124 m2,415.000 €,84.35 km,04.09.2025
"Primorsko-goranska, Opatija - Okolica",46 m2,231.000 €,80.93 km,04.09.2025
"Primorsko-goranska, Kastav",75 m2,227.000 €,75.13 km,04.09.2025
"Primorsko-goranska, Omišalj",76 m2,230.000 €,94.06 km,04.09.2025
"Primorsko-goranska, Opatija",430 m2,1.100.000 €,79.28 km,04.09.2025
"Primorsko-goranska, Crikvenica",260 m2,1.650.000 €,96.24 km,04.09.2025
"Primorsko-goranska, Crikvenica",300 m2,1.200.000 €,96.36 km,04.09.2025
"Istrska, Umag",380 m2,1.500.000 €,98.94 km,04.09.2025
"Primorsko-goranska, Matulji",380 m2,1.550.000 €,72.21 km,04.09.2025
"Primorsko-goranska, Opatija - Okolica",31 m2,100 €,80.78 km,04.09.2025
"Istrska, Buje",255 m2,1.200.000 €,93.04 km,04.09.2025
"Primorsko-goranska, Opatija",132 m2,100 €,79.38 km,04.09.2025
"Primorsko-goranska, Opatija",250 m2,1.050.000 €,79.56 km,04.09.2025
"Primorsko-goranska, Opatija",139 m2,1.355.000 €,79.49 km,04.09.2025
"Primorsko-goranska, Vinodolska Općina",245 m2,494.000 €,94.26 km,04.09.2025
"Primorsko-goranska, Kraljevica",320 m2,1.150.000 €,87.60 km,04.09.2025
"Primorsko-goranska, Kraljevica",89 m2,219.000 €,87.66 km,04.09.2025
"Primorsko-goranska, Crikvenica",175 m2,850.000 €,96.41 km,04.09.2025
"Primorsko-goranska, Matulji",112 m2,635.000 €,72.04 km,04.09.2025
"Poljčane, Poljčane",58 m2,69.000 €,88.68 km,04.09.2025
"Ljubljana Vič Rudnik, Rakovnik",37 m2,250 €,3.00 km,04.09.2025
"Mislinja, Tolsti Vrh pri Mislinji",34 m2,Cena po dogovoru,72.03 km,04.09.2025
"Koper, Kampel",140 m2,1.750 €,82.62 km,04.09.2025
"Nova Gorica, Nova Gorica",177 m2,470.000 €,64.87 km,04.09.2025
"Log pri Brezovici, Log pri Brezovici",45 m2,160.000 €,10.28 km,04.09.2025
"Ljubljana Bežigrad, Bežigrad",76.62 m2,415.000 €,4.15 km,04.09.2025
"Slovenska Bistrica, Slovenska Bistrica",32 m2,65.000 €,91.97 km,04.09.2025
"Istrska, Umag",29 m2,Cena po dogovoru,98.58 km,04.09.2025
"Ljubljana Bežigrad, Zupančičeva jama",69 m2,375.000 €,2.97 km,04.09.2025
"Istrska, Umag",82 m2,262.000 €,98.82 km,04.09.2025
"Istrska, Umag",69 m2,290.000 €,98.80 km,04.09.2025
"Istrska, Umag",84 m2,315.000 €,98.98 km,04.09.2025
"Istrska, Umag",53 m2,215.000 €,98.69 km,04.09.2025
"Slovenske Konjice, Slovenske Konjice",240 m2,350.000 €,78.89 km,04.09.2025
"Primorsko-goranska, Opatija",90 m2,540.000 €,79.56 km,04.09.2025
"Primorsko-goranska, Viškovo",61.6 m2,250.000 €,73.04 km,04.09.2025
"Primorsko-goranska, Matulji",99.83 m2,350.000 €,71.98 km,04.09.2025
"Primorsko-goranska, Kostrena",164.69 m2,1.350.000 €,83.18 km,04.09.2025
"Primorsko-goranska, Mrkopalj",400 m2,950.000 €,90.14 km,04.09.2025
"Primorsko-goranska, Crikvenica",84.71 m2,301.000 €,96.15 km,04.09.2025
"Primorsko-goranska, Matulji",62.31 m2,315.000 €,72.05 km,04.09.2025
"Primorsko-goranska, Opatija",140.67 m2,878.000 €,79.65 km,04.09.2025
"Primorsko-goranska, Crikvenica",111.55 m2,353.000 €,96.15 km,04.09.2025
"Primorsko-goranska, Opatija",24 m2,156.000 €,79.53 km,04.09.2025
"Primorsko-goranska, Mošćenička Draga",170 m2,450.000 €,94.35 km,04.09.2025
"Primorsko-goranska, Vinodolska Općina",150 m2,363.000 €,94.16 km,04.09.2025
"Primorsko-goranska, Viškovo",240 m2,369.000 €,73.06 km,04.09.2025
"Primorsko-goranska, Opatija",178.23 m2,1.450.000 €,79.57 km,04.09.2025
"Primorsko-goranska, Opatija",96.86 m2,695.000 €,79.66 km,04.09.2025
"Primorsko-goranska, Matulji",148.1 m2,592.000 €,72.17 km,04.09.2025
"Primorsko-goranska, Crikvenica",300 m2,700.000 €,96.24 km,04.09.2025
"Primorsko-goranska, Crikvenica",91.8 m2,210.000 €,96.25 km,04.09.2025
"Primorsko-goranska, Opatija",120 m2,320.000 €,79.41 km,04.09.2025
"Primorsko-goranska, Opatija - Okolica",98.89 m2,500.000 €,80.65 km,04.09.2025
"Mežica, Mežica",120 m2,235.000 €,60.30 km,04.09.2025
"Primorsko-goranska, Delnice",304 m2,320.000 €,70.46 km,04.09.2025
"Istrska, Umag",80.59 m2,319.000 €,98.77 km,04.09.2025
"Primorsko-goranska, Omišalj",92.57 m2,336.000 €,93.13 km,04.09.2025
"Primorsko-goranska, Omišalj",89.97 m2,326.000 €,93.13 km,04.09.2025
"Primorsko-goranska, Rijeka",69.51 m2,249.000 €,80.23 km,04.09.2025
"Primorsko-goranska, Delnice",296 m2,965.000 €,70.38 km,04.09.2025
"Istrska, Umag",67.22 m2,235.000 €,98.70 km,04.09.2025
"Istrska, Umag",109.9 m2,499.000 €,98.68 km,04.09.2025
"Primorsko-goranska, Rijeka",68.11 m2,305.000 €,77.58 km,04.09.2025
"Primorsko-goranska, Rijeka",92.43 m2,399.000 €,77.44 km,04.09.2025
"Primorsko-goranska, Rijeka",90.76 m2,399.000 €,77.48 km,04.09.2025
"Primorsko-goranska, Rijeka",68.74 m2,305.000 €,77.38 km,04.09.2025
"Primorsko-goranska, Rijeka",74.79 m2,315.000 €,77.80 km,04.09.2025
"Primorsko-goranska, Matulji",360 m2,1.500.000 €,77.10 km,04.09.2025
"Primorsko-goranska, Kostrena",240 m2,1.350.000 €,82.99 km,04.09.2025
"Primorsko-goranska, Lovran",112.99 m2,599.000 €,86.90 km,04.09.2025
"Istrska, Umag",58.14 m2,207.000 €,98.83 km,04.09.2025
"Istrska, Umag",59.72 m2,299.000 €,98.74 km,04.09.2025
"Primorsko-goranska, Crikvenica",200 m2,1.537.500 €,96.33 km,04.09.2025
"Primorsko-goranska, Kostrena",198 m2,757.000 €,83.22 km,04.09.2025
"Primorsko-goranska, Rijeka",129.51 m2,549.000 €,77.58 km,04.09.2025
"Istrska, Umag",75.97 m2,419.000 €,98.72 km,04.09.2025
"Primorsko-goranska, Bakar",270 m2,146.000 €,78.21 km,04.09.2025
"Istrska, Umag",81 m2,260.000 €,98.87 km,04.09.2025
"Istrska, Umag",256 m2,1.152.000 €,98.77 km,04.09.2025
"Istrska, Umag",66 m2,255.000 €,98.77 km,04.09.2025
"Istrska, Umag",118 m2,420.000 €,98.74 km,04.09.2025
"Istrska, Umag",67 m2,249.000 €,98.74 km,04.09.2025
"Kranj, Kranj",72 m2,1.250 €,24.43 km,04.09.2025
"Istrska, Umag",53 m2,215.000 €,98.65 km,04.09.2025
"Istrska, Umag",78.67 m2,409.000 €,98.73 km,04.09.2025
"Primorsko-goranska, Bakar",123 m2,245.000 €,78.45 km,04.09.2025
"Primorsko-goranska, Vrbovsko",316 m2,40.000 €,87.30 km,04.09.2025
"Primorsko-goranska, Matulji",55.9 m2,166.500 €,71.96 km,04.09.2025
"Istrska, Umag",97.7 m2,530.000 €,98.87 km,04.09.2025
"Primorsko-goranska, Rijeka",50.38 m2,700 €,77.62 km,04.09.2025
"Istrska, Umag",29 m2,145.000 €,98.69 km,04.09.2025
"Primorsko-goranska, Rijeka",24.66 m2,123.000 €,77.48 km,04.09.2025
"Primorsko-goranska, Rijeka",24.66 m2,123.000 €,77.46 km,04.09.2025
"Domžale, Domžale",189 m2,455.000 €,13.60 km,04.09.2025
"Istrska, Buje",106 m2,165.000 €,92.88 km,04.09.2025
"Ljubljana, Besnica",55 m2,Cena po dogovoru,17.97 km,03.09.2025
"Muta, Muta",167.5 m2,185.000 €,81.82 km,03.09.2025
"Ljubljana Šiška, Zgornja Šiška",30 m2,Cena po dogovoru,2.97 km,03.09.2025
"Šmarje pri Jelšah, Platinovec",200 m2,205.000 €,76.22 km,03.09.2025
"Ljubljana Moste Polje, Poljane",55 m2,Cena po dogovoru,2.54 km,03.09.2025
"Trbovlje, Trbovlje",30 m2,200 €,44.63 km,03.09.2025
"Žalec, Žalec",63.5 m2,746 €,56.72 km,03.09.2025
"Žalec, Žalec",35.72 m2,540 €,56.72 km,03.09.2025
"Kranj, Kranj",517.7 m2,798.000 €,24.14 km,03.09.2025
"Brezovica pri Ljubljani, Brezovica pri Ljubljani",515 m2,550.000 €,5.76 km,03.09.2025
"Kranj, Kranj",230 m2,995.000 €,24.26 km,03.09.2025
"Ljubljana Moste Polje, Fužine",81 m2,1.150 €,5.07 km,03.09.2025
"Ljubljana Moste Polje, Jarše",81.5 m2,1.300 €,5.28 km,03.09.2025
"Maribor okolica, Hrastje",143.8 m2,289.000 €,98.77 km,03.09.2025
"Nova Gorica, Rožna Dolina",110 m2,220.000 €,65.44 km,03.09.2025
"Ljubljana, Malo Trebeljevo",50 m2,Cena po dogovoru,20.07 km,03.09.2025
"Zreče, Zreče",56.4 m2,490 €,78.23 km,03.09.2025
"Istrska, Grožnjan",90 m2,175.000 €,92.53 km,03.09.2025
"Ljubljana Center, Center",99.1 m2,630.000 €,1.98 km,03.09.2025
"Brežice, Brežice",66.3 m2,125.000 €,86.96 km,03.09.2025
"Celje, Celje",54 m2,850 €,62.70 km,03.09.2025
"Piran, Sečovlje",55 m2,600 €,92.53 km,03.09.2025
"Primorsko-goranska, Opatija - Okolica",220 m2,390.000 €,80.78 km,03.09.2025
"Istrska, Buzet",64.83 m2,175.041 €,82.62 km,03.09.2025
"Primorsko-goranska, Ravna Gora",260 m2,90.000 €,82.97 km,03.09.2025
"Ribnica na Pohorju, Ribnica na Pohorju",48.2 m2,97.900 €,80.78 km,03.09.2025
"Črna na Koroškem, Koprivna",54.95 m2,25.900 €,49.87 km,03.09.2025
"Piran, Portorož",19 m2,0 €,89.84 km,03.09.2025
"Piran, Seča",59 m2,296.000 €,91.64 km,03.09.2025
"Velenje, Paka pri Velenju",50 m2,Cena po dogovoru,62.83 km,03.09.2025
"Ljubljana Center, Center",55.2 m2,1.100 €,2.02 km,03.09.2025
"Istrska, Buje",140 m2,199.000 €,93.24 km,03.09.2025
"Primorsko-goranska, Matulji",143 m2,459.000 €,72.18 km,03.09.2025
"Primorsko-goranska, Mošćenička Draga",200 m2,1.500.000 €,94.17 km,03.09.2025
"Primorsko-goranska, Opatija - Okolica",295 m2,1.200.000 €,80.73 km,03.09.2025
"Primorsko-goranska, Kostrena",235 m2,955.000 €,82.99 km,03.09.2025
"Primorsko-goranska, Mrkopalj",150 m2,550.000 €,90.23 km,03.09.2025
"Primorsko-goranska, Crikvenica",228 m2,900.000 €,96.18 km,03.09.2025
"Primorsko-goranska, Mošćenička Draga",220 m2,700.000 €,94.49 km,03.09.2025
"Primorsko-goranska, Vinodolska Općina",200 m2,850.000 €,94.16 km,03.09.2025
"Primorsko-goranska, Lovran",625 m2,2.500.000 €,87.08 km,03.09.2025
"Primorsko-goranska, Omišalj",67 m2,330.000 €,93.86 km,03.09.2025
"Primorsko-goranska, Kostrena",146 m2,666.000 €,82.97 km,03.09.2025
"Primorsko-goranska, Omišalj",97 m2,485.000 €,93.88 km,03.09.2025
"Istrska, Buje",443.9 m2,100 €,92.97 km,03.09.2025
"Istrska, Pazin",400 m2,690.000 €,98.57 km,03.09.2025
"Istrska, Umag",1000 m2,11 €,98.84 km,03.09.2025
"Istrska, Umag",48.52 m2,315.000 €,98.88 km,03.09.2025
"Istrska, Umag",81.56 m2,495.000 €,98.89 km,03.09.2025
"Istrska, Umag",58.03 m2,310.000 €,98.74 km,03.09.2025
"Istrska, Buje",89 m2,240.000 €,92.92 km,03.09.2025
"Istrska, Umag",30.1 m2,206.000 €,98.53 km,03.09.2025
"Istrska, Pazin",110 m2,230.000 €,98.57 km,03.09.2025
"Istrska, Umag",88 m2,735.703 €,98.71 km,03.09.2025
"Istrska, Grožnjan",700 m2,190.000 €,92.21 km,03.09.2025
"Istrska, Umag",125 m2,455.000 €,98.89 km,03.09.2025
"Istrska, Pazin - Okolica",230 m2,1.350.000 €,98.73 km,03.09.2025
"Istrska, Umag",49 m2,226.500 €,98.75 km,03.09.2025
"Istrska, Umag",170 m2,632.400 €,98.84 km,03.09.2025
"Ljubljana Center, Center",253 m2,1.950.000 €,1.87 km,03.09.2025
"Ljubljana Vič Rudnik, Rožna dolina",50 m2,800 €,602 km,03.09.2025
"Istrska, Buje",443.9 m2,100 €,93.07 km,03.09.2025
"Primorsko-goranska, Crikvenica",33.75 m2,135.000 €,96.22 km,03.09.2025
"Primorsko-goranska, Crikvenica",31 m2,128.000 €,96.22 km,03.09.2025
"Vojnik, Konjsko",50 m2,550 €,66.73 km,02.09.2025
"Ljubljana Vič Rudnik, Dolgi most",220 m2,1.000 €,379 km,02.09.2025
"Ljubljana Vič Rudnik, Dolgi most",30 m2,30 €,544 km,02.09.2025
Hrvaška,240 m2,1.500 €,79.83 km,02.09.2025
"Primorsko-goranska, Lovran",205 m2,1.200 €,87.05 km,02.09.2025
"Radeče, Obrežje",40 m2,250 €,52.04 km,02.09.2025
"Kranj, Primskovo",45 m2,550 €,24.17 km,02.09.2025
"Ljubljana Vič Rudnik, Rudnik",39 m2,250 €,3.94 km,02.09.2025
"Slovenska Bistrica, Razgor pri Žabljeku",98 m2,450.000 €,89.31 km,02.09.2025
"Maribor okolica, Pekre",55 m2,95.000 €,99.96 km,02.09.2025
"Celje, Celje",35 m2,400 €,62.47 km,02.09.2025
"Vrhnika, Vrhnika",35 m2,120.000 €,16.73 km,02.09.2025
"Ljubljana Center, Center",110.5 m2,2.500 €,2.02 km,02.09.2025
"Ajdovščina, Vrtovče",150 m2,Cena po dogovoru,53.62 km,02.09.2025
"Slovenska Bistrica, Pragersko",124.9 m2,220.000 €,97.67 km,02.09.2025
"Trbovlje, Trbovlje",72 m2,Cena po dogovoru,44.79 km,02.09.2025
"Zagorje ob Savi, Podkum",140 m2,Cena po dogovoru,42.47 km,02.09.2025
"Bovec, Bovec",31.6 m2,380 €,78.70 km,02.09.2025
"Celje, Celje",119.5 m2,1.100 €,63.61 km,02.09.2025
"Celje, Center",136 m2,365.000 €,63.58 km,02.09.2025
"Bovec, Bovec",40 m2,480 €,78.70 km,02.09.2025
"Istrska, Umag",71 m2,309.000 €,98.87 km,02.09.2025
"Istrska, Umag",151 m2,390.000 €,98.79 km,02.09.2025
"Bovec, Log pod Mangartom",194 m2,349.000 €,79.19 km,02.09.2025
"Brežice, Brežice",53.51 m2,233.276 €,87.66 km,02.09.2025
"Primorsko-goranska, Crikvenica",30 m2,135.000 €,96.07 km,02.09.2025
"Primorsko-goranska, Crikvenica",30 m2,135.000 €,96.18 km,02.09.2025
"Primorsko-goranska, Crikvenica",70 m2,234.500 €,96.33 km,02.09.2025
"Primorsko-goranska, Opatija - Okolica",90 m2,327.000 €,80.72 km,02.09.2025
"Primorsko-goranska, Opatija",64 m2,395.000 €,79.63 km,02.09.2025
"Primorsko-goranska, Opatija",70 m2,208.000 €,79.49 km,02.09.2025
"Primorsko-goranska, Crikvenica",100 m2,365.000 €,96.32 km,02.09.2025
"Primorsko-goranska, Opatija",135 m2,670.000 €,79.62 km,02.09.2025
"Istrska, Umag",144 m2,669.000 €,98.75 km,02.09.2025
"Primorsko-goranska, Lovran",65 m2,298.900 €,86.95 km,02.09.2025
"Primorsko-goranska, Lovran",65 m2,298.900 €,86.94 km,02.09.2025
"Primorsko-goranska, Crikvenica",125 m2,467.000 €,96.32 km,02.09.2025
"Primorsko-goranska, Opatija",90 m2,2.000 €,79.64 km,02.09.2025
"Primorsko-goranska, Crikvenica",135 m2,100 €,96.40 km,02.09.2025
"Primorsko-goranska, Crikvenica",100 m2,100 €,96.30 km,02.09.2025
"Primorsko-goranska, Opatija",90 m2,2.000 €,79.63 km,02.09.2025
"Primorsko-goranska, Opatija - Okolica",27 m2,600 €,80.80 km,02.09.2025
"Novo mesto, Novo mesto",32 m2,350 €,62.44 km,02.09.2025
"Ljubljana Bežigrad, Zupančičeva jama",69 m2,375.000 €,3.19 km,02.09.2025
"Istrska, Umag",46 m2,190.000 €,98.79 km,02.09.2025
"Kranj, Kranj",160 m2,499.999 €,24.46 km,02.09.2025
"Komenda, Gmajnica",64.8 m2,305.000 €,18.63 km,02.09.2025
